Pick,Team,To,Player,Pos,Age,School,40-Yard Dash,Vertical Jump,Broad Jump,20-Yard Shuttle,Bench Press,G,AP1,PB,St
1,TAM,21.0,Vinny Testaverde,QB,23,Miami (FL),4.75,,,,13,233,0,2,15
6,STL,6.0,Kelly Stouffer,QB,23,Colorado State,4.95,28.0,108,4.51,,22,0,0,0
7,DET,6.0,Reggie Rogers,DE,23,Washington,4.76,29.0,103,4.91,,15,0,0,0
9,PHI,5.0,Jerome Brown,DT,22,Miami (FL),4.86,,,,17,76,2,2,5
10,PIT,17.0,Rod Woodson,DB,22,Purdue,4.33,36.0,125,3.98,10,238,6,11,15
12,DAL,6.0,Danny Noonan,DT,22,Nebraska,4.82,32.0,115,4.38,,73,0,0,2
13,ATL,13.0,Chris Miller,QB,22,Oregon,4.74,30.5,117,4.35,,98,0,1,7
16,MIA,3.0,John Bosa,DE,23,Boston College,4.85,28.0,99,4.41,27,31,0,0,1
18,SEA,10.0,Tony Woods,DE,21,Pittsburgh,4.85,29.0,115,4.55,18,147,0,0,9
19,KAN,3.0,Paul Palmer,RB,22,Temple,4.53,30.0,116,4.22,11,41,0,0,2
20,HOU,10.0,Haywood Jeffires,WR,22,North Carolina State,4.41,,,,,132,1,3,6
24,SDG,9.0,Rod Bernstine,RB,22,Texas A&M,4.68,29.5,112,4.39,18,84,0,0,3
25,SFO,5.0,Terrence Flagler,RB,22,Clemson,4.52,30.5,113,4.41,15,41,0,0,0
27,DEN,6.0,Ricky Nattiel,WR,21,Florida,4.41,32.0,116,,,70,0,0,1
28,NYG,10.0,Mark Ingram,WR,22,Michigan State,4.42,32.0,111,4.16,8,128,0,0,6
29,BUF,10.0,Nate Odomes,DB,22,Wisconsin,4.43,33.5,119,4.30,18,115,0,2,7
30,WAS,8.0,Brian Davis,DB,24,Nebraska,4.45,35.5,119,4.17,8,87,0,0,1
33,BUF,8.0,Roland Mitchell,DB,23,Texas Tech,4.49,32.0,128,4.15,9,89,0,0,1
36,TAM,10.0,Ricky Reynolds,DB,22,Washington State,4.48,30.5,118,4.17,16,147,0,0,10
38,PIT,6.0,Delton Hall,DB,22,Clemson,4.48,30.5,112,4.61,3,76,0,0,1
39,DAL,4.0,Ron Francis,DB,23,Baylor,4.49,34.0,115,4.06,8,54,0,0,1
40,NOR,4.0,Lonzell Hill,WR,21,Washington,4.57,31.0,113,4.11,,55,0,0,2
46,HOU,3.0,Walter Johnson,LB,23,Pittsburgh,4.97,28.5,110,4.86,20,41,0,0,0
47,RAM,9.0,Donald Evans,DE,23,Winston-Salem State,4.62,31.0,115,4.52,29,90,0,0,5
48,WAS,,Wally Kleine,T,,Notre Dame,5.20,27.5,99,4.74,18,,0,0,0
49,CIN,9.0,Eric Thomas,DB,22,Tulane,4.38,35.0,126,4.22,7,111,0,1,5
51,TAM,4.0,Don Smith,RB,23,Mississippi State,4.67,30.0,114,,11,37,0,0,0
54,CHI,6.0,Ron Morris,WR,22,Southern Methodist,4.59,31.5,116,4.29,8,66,0,0,3
